claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
429,academy/troubleshooting/cloudy-water.html,"Chemical Treatment for Cloudiness If cloudiness is from chemistry: first bring pH into the 7.2–7.6 range, then shock the pool to 10 ppm FC or higher.",ph,pool/unspecified_sanitizer,range-ph-pool-chlorine-routine,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
430,academy/troubleshooting/cloudy-water.html,Follow label dosing directions — more is not better with clarifiers and can cause the filter to overload.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
431,academy/troubleshooting/cloudy-water.html,"Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm.",ph,pool/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (0.8-0.8) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
432,academy/troubleshooting/cloudy-water.html,Day 1 morning: add muriatic acid to lower pH to 7.4.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
433,academy/troubleshooting/cloudy-water.html,Afternoon: shock pool to 10 ppm FC using liquid chlorine.,free_chlorine,pool/chlorine,,,REQUIRES_REVIEW,"Numeric value (10-10) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya) -- flag for the consistency matrix as a possible contradiction candidate."
434,academy/troubleshooting/cloudy-water.html,FC reads 4 ppm (chlorine still active).,free_chlorine,unspecified_env/chlorine,range-fc-pool-chlorine-with-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
435,academy/troubleshooting/cloudy-water.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Taylor Technologies — Pool/Spa Water Chemistry Reference Related Calculators & Resources Pool Chlorine Calculator Pool Shock Calculator Pool Maintenance Checklist Related Topics Green Pool Water: How to Fix It Green water means al…",algae,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
436,academy/troubleshooting/corrosion.html,Corrosion problem Damage to pool surfaces and metal equipment caused by corrosive (low LSI) water.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
437,academy/troubleshooting/corrosion.html,Ideal Range: N/A (prevented by LSI > −0.3) Calculators Chemical Calculator Related Langelier Saturation Index pH Total Alkalinity Calcium Hardness Copper Iron Full entity details → In This Category Cloudy Pool Water: Causes and Solutions Green Pool Water: How to Fix It Foaming Hot Tubs: Causes and S…,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
438,academy/troubleshooting/corrosion.html,Low pH is the most common cause.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
439,academy/troubleshooting/corrosion.html,Key Facts An LSI below -0.3 indicates aggressive (corrosive) water.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
440,academy/troubleshooting/corrosion.html,Low pH (below 7.2) is the most common cause of pool corrosion.,ph,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
441,academy/troubleshooting/corrosion.html,"Soft water (low calcium hardness, below 150 ppm) is inherently corrosive to pool surfaces.",calcium_hardness,pool/unspecified_sanitizer,range-ch-public-pool-standard,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
442,academy/troubleshooting/corrosion.html,"When pool water is under-saturated (LSI negative), it dissolves minerals from the nearest available source.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
443,academy/troubleshooting/corrosion.html,"The primary causes are low pH, low alkalinity, and low calcium hardness.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
444,academy/troubleshooting/corrosion.html,"Stopping Corrosion The treatment for active corrosion is raising the LSI into the acceptable range: raise pH to 7.4–7.6 (largest single impact), raise calcium hardness to 200+ ppm for plaster pools, and raise alkalinity to 80–100 ppm.",ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (80-100) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
445,academy/troubleshooting/corrosion.html,Shocking a pool with active metal staining can worsen it — hold off on shock until metals are sequestered.,shock_treatment,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
446,academy/troubleshooting/corrosion.html,Examples Addressing Copper Staining A pool owner notices blue-green staining appearing along the waterline and on the pool floor after using a copper-based algaecide.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
447,academy/troubleshooting/corrosion.html,Testing shows pH 7.1 and Ca hardness 100 ppm — an LSI of approximately -1.0.,ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (100-100) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
448,academy/troubleshooting/corrosion.html,The corrosive water is dissolving copper from the algaecide and it is plating out on pool surfaces.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
449,academy/troubleshooting/corrosion.html,Step 2: Do not shock until metals are under control.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
450,academy/troubleshooting/corrosion.html,Step 3: Raise pH to 7.4 and hardness to 250 ppm over 48 hours.,ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (250-250) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
451,academy/troubleshooting/foaming-hot-tubs.html,In This Category Cloudy Pool Water: Causes and Solutions Green Pool Water: How to Fix It Foaming Hot Tubs: Causes and Solutions Strong Chlorine Smell: What It Really Means Pool Scaling: Causes and Prevention Pool Corrosion: Causes and Prevention On This Page Key Facts What Causes Hot Tub Foam Identi…,algae,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
452,academy/troubleshooting/foaming-hot-tubs.html,Key Facts Examples Calculator Related Foam in a hot tub is a surface tension problem caused by organic compounds that lower water's surface tension.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
453,academy/troubleshooting/foaming-hot-tubs.html,"Key Facts Foam in a hot tub almost always indicates organic contamination — body oils, lotions, detergent residue in swimwear.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
454,academy/troubleshooting/foaming-hot-tubs.html,"High TDS (total dissolved solids) above 1,500 ppm over baseline lowers surface tension and promotes foaming.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
